,zipcode,routing_file,label
80,66042,Y17--2-CASOL-x15-A25,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10046498-1.pdf
81,66043,Y17--2-CASOL-x15-A25,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10046499-1.pdf
82,66044,Y17--1-ATESS-x15-A25,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061247-1.pdf
83,66045,Y17--3-CASTI-x15-A25,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061248-1.pdf
84,66046,Y17--1-ATESS-x15-A25,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10046500-1.pdf
85,66047,Y17--14-QUAD-x15-A25,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10011467-1.pdf
86,66050,Y17--MIX-660-x15-A25,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10046501-1.pdf
87,66051,Y17--20-VAST-x15-A25,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10046502-1.pdf
88,66052,Y17--7-GISSI-x15-A25,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10067046-1.pdf
89,66054,Y17--18-VAST-x15-A25,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10029215-1.pdf
90,66100,Y18--19-CHIE-x15-A6,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061249-1.pdf
91,65010,Y17--MIX-650-x15-A25,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10014396-1.pdf
92,65011,Y17--4-CATIG-x15-A25,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061250-1.pdf
93,65012,Y18--15-CHIE-x15-A6,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10046503-1.pdf
94,65013,Y17--21-MONT-x15-A25,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10011468-1.pdf
95,65014,Y17--21-MONT-x15-A25,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061251-1.pdf
96,65015,Y17--9-MONTE-x15-A25,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061252-1.pdf
97,65017,Y17--12-PENN-x15-A25,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10028998-1.pdf
98,65019,Y17--21-MONT-x15-A25,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061253-1.pdf
99,65020,Y17--MIX-650-x15-A25,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061254-1.pdf
